sku,wp_post_id,vendor,brand,name,identity_key,primary_ean,lookup_ean,all_eans,shop_status,woo_thumb,woo_kind,vendor_image,in_wholesale_export,has_override,has_cdn_file,has_scraped_file,has_brasty_file,fill_origin,override_url,no_image_bytes_anywhere
BF-D5636116,121624,beautyfort,Tom Ford,Tom Ford Ultra-Shine Lip Colour 3.3g - 20 Riviera,ean:0888066137034,0888066137034,888066137034,888066137034,missing,,none,,0,0,0,0,0,,,1
BF-Z99424,121626,beautyfort,Escada,Escada Especially Escada Delicate Notes Eau de Toilette 50ml Spray,ean:0737052565064,0737052565064,737052565064,737052565064,missing,,none,https://www.beautyfort.com/pic/aTBxYlI4RGFjN29VZHA5aVI0czVMRHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BTS-319827,121640,bts,ALTERNA,Alterna Caviar Anti-Aging Restructuring Bond Repair Conditioner 40ml,ean:0873509030416,0873509030416,873509030416,873509030416,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334042,121675,bts,SCHWARZKOPF,Schwarzkopf Ir 6-16 60ml,ean:4045787479195,4045787479195,4045787479195,4045787479195,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334040,121676,bts,SCHWARZKOPF,Schwarzkopf Ir 5-16 60ml,ean:4045787479232,4045787479232,4045787479232,4045787479232,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334041,121677,bts,SCHWARZKOPF,Schwarzkopf Ir 5-21 60ml,ean:4045787479270,4045787479270,4045787479270,4045787479270,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334046,121678,bts,SCHWARZKOPF,Schwarzkopf Ir 7-21 60ml,ean:4045787479317,4045787479317,4045787479317,4045787479317,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334061,121681,bts,SCHWARZKOPF,Schwarzkopf Ira 7-140 60ml,ean:4045787623222,4045787623222,4045787623222,4045787623222,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334063,121682,bts,SCHWARZKOPF,Schwarzkopf Ira 7-460 60ml,ean:4045787623383,4045787623383,4045787623383,4045787623383,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334067,121683,bts,SCHWARZKOPF,Schwarzkopf Ira 9-140 60ml,ean:4045787623468,4045787623468,4045787623468,4045787623468,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334068,121684,bts,SCHWARZKOPF,Schwarzkopf Ira 9-460 60ml,ean:4045787623505,4045787623505,4045787623505,4045787623505,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334060,121685,bts,SCHWARZKOPF,Schwarzkopf Ira 6-460 60ml,ean:4045787631647,4045787631647,4045787631647,4045787631647,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334062,121686,bts,SCHWARZKOPF,Schwarzkopf Ira 7-450 60ml,ean:4045787632200,4045787632200,4045787632200,4045787632200,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334064,121687,bts,SCHWARZKOPF,Schwarzkopf Ira 7-560 60ml,ean:4045787632248,4045787632248,4045787632248,4045787632248,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334065,121688,bts,SCHWARZKOPF,Schwarzkopf Ira 8-01 60ml,ean:4045787632323,4045787632323,4045787632323,4045787632323,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334066,121689,bts,SCHWARZKOPF,Schwarzkopf Ira 8-140 60ml,ean:4045787632361,4045787632361,4045787632361,4045787632361,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334069,121690,bts,SCHWARZKOPF,Schwarzkopf Ira 9-560 60ml,ean:4045787632408,4045787632408,4045787632408,4045787632408,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334043,121691,bts,SCHWARZKOPF,Schwarzkopf Ir 6-23 60ml Dfinlep,ean:4045787850987,4045787850987,4045787850987,4045787850987,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334045,121692,bts,SCHWARZKOPF,Schwarzkopf Ir 7-13 60ml Dfinlep,ean:4045787851229,4045787851229,4045787851229,4045787851229,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
BTS-334049,121693,bts,SCHWARZKOPF,Schwarzkopf Ir 9-11 60ml Dfinlep,ean:4045787851380,4045787851380,4045787851380,4045787851380,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,0,0,,,1
