export_id,brand,title,type,sex,volume,ean_raw,ean,stock,price,tester,shade,coverage,image_url,cdn_file,scraped_file,brasty_file
181913,Maison Asrar,Milky Way,Eau de Parfum,UNI,100 ml,6290362164623,6290362164623,4,"20,04",0,,no_image_anywhere,,,,
181915,Gulf Orchid,ISHQ,Eau de Parfum,UNI,110 ml,6291107018010,6291107018010,16,"11,09",0,,no_image_anywhere,,,,
181919,Gulf Orchid,Omsiah,Eau de Parfum,UNI,110 ml,6290362162261,6290362162261,32,"11,37",0,,scraped_unapplied,,,6290362162261.jpg,
181924,Adolfo Dominguez,Agua Fresca Lima Tonka,Eau de Toilette,M,120 ml,8410190631137,8410190631137,9,"25,56",0,,no_image_anywhere,,,,
181925,Khadlaj,Mocha Latte,Perfume Extract,UNI,100 ml,6291107979328,6291107979328,1,"10,25",0,,brasty_dump,,,,out_of_stock/6291107979328.jpg
181926,Khadlaj,Rasayel Shagaf,Eau de Parfum,M,100 ml,6291107977867,6291107977867,24,"9,79",0,,brasty_dump,,,,in_stock/6291107977867.jpg
181927,Khadlaj,Rasayel Vid,Eau de Parfum,W,100 ml,6291107977874,6291107977874,23,"8,66",0,,brasty_dump,,,,in_stock/6291107977874.jpg
181931,Arabiyat Prestige,Lychee Musk,Eau de Parfum,UNI,100 ml,6290361911877,6290361911877,3,"13,01",0,,brasty_dump,,,,in_stock/6290361911877.jpg
181932,Arabiyat Prestige,Nyla Suede,Eau de Parfum,UNI,80 ml,6290361911570,6290361911570,23,"17,31",0,,no_image_anywhere,,,,
181934,Arabiyat Prestige,Cranberry Musk,Eau de Parfum,UNI,100 ml,6290102035572,6290102035572,2,"12,73",0,,brasty_dump,,,,in_stock/6290102035572.jpg
181935,Arabiyat Prestige,Aariz Intense,Eau de Parfum,UNI,100 ml,6290102032007,6290102032007,8,"29,40",0,,brasty_dump,,,,in_stock/6290102032007.jpg
