sku,wp_post_id,vendor,brand,name,identity_key,primary_ean,lookup_ean,all_eans,shop_status,woo_thumb,woo_kind,vendor_image,in_wholesale_export,has_override,has_cdn_file,has_scraped_file,has_brasty_file,fill_origin,override_url,no_image_bytes_anywhere
BTS-341631,72954,bts,NYX,"Nyx Jumbo Multi-Use Face Stick Mettalic Palt 2,7g",ean:0800897243548,0800897243548,800897243548,800897243548,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-341632,72955,bts,NYX,"Nyx Jumbo Multi-Use Face Stick Rose Gold 2,7g",ean:0800897243555,0800897243555,800897243555,800897243555,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-341633,72957,bts,NYX,"Nyx Jumbo Multi-Use Face Stick True Gold 2,7g",ean:0800897243579,0800897243579,800897243579,800897243579,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-375999,72958,bts,NYX,"Nyx Jumbo Multi-Use Face Stick Flan 2,7g",ean:0800897243593,0800897243593,800897243593,800897243593,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-365611,72960,bts,NYX,"Nyx Vivid Rich Mechanical Lápiz Delineador 03 0,28g",ean:0800897245047,0800897245047,800897245047,800897245047,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-365620,72961,bts,NYX,"Nyx Vivid Rich Mechanical Lápiz Delineador 16 0,28g",ean:0800897246020,0800897246020,800897246020,800897246020,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-376108,72962,bts,NYX,"Nyx Ultimate Vintage Jean Baby Paleta De Sombras 16 X 0,8g",ean:0800897246464,0800897246464,800897246464,800897246464,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-347540,72964,bts,NYX,"Nyx Ultimate Shadow Palette I Know That's Bright 16 X 0,83g",ean:0800897246488,0800897246488,800897246488,800897246488,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-361181,72974,bts,NYX,Nyx Fat Oil Slick Click Bálsamo Labial Brillante Man Character 2g,ean:0800897249502,0800897249502,800897249502,800897249502,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-361179,72975,bts,NYX,Nyx Fat Oil Slick Click Bálsamo Labial Brillante No Fitler Need 2g,ean:0800897249526,0800897249526,800897249526,800897249526,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
