sku,name,brand,vendor,vendor_product_id,primary_ean,extra_eans,lookup_ean,wp_post_id,slug,stock,vendor_image_url,identity_key
BTS-332666,"Essence Cosmetics Baby Got Colorete 30-Rosé All Day 5,5g",ESSENCE COSMETICS,bts,332666,4059729381033,,4059729381033,89340,essence-cosmetics-baby-got-colorete-30-rose-all-day-5-5g-bts-332666,87,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729381033
BTS-386551,"Essence Cosmetics Baby Got Colorete 40-Sweets y Roses 5,5g",ESSENCE COSMETICS,bts,386551,4059729491275,,4059729491275,89568,essence-cosmetics-baby-got-colorete-40-sweets-y-roses-5-5g-bts-386551,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729491275
BTS-400731,"Essence Cosmetics Baby Got Glow Iluminador En Stick 20-Rosy Glaze 5,5g",ESSENCE COSMETICS,bts,400731,4059729542533,,4059729542533,89823,essence-cosmetics-baby-got-glow-iluminador-en-stick-20-rosy-glaze-5-5g-bts-400731,10,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729542533
BTS-362069,Essence Cosmetics Baby Got Glow Iluminador Líquido 30-Breezy Bronze 10ml,ESSENCE COSMETICS,bts,362069,4059729466679,,4059729466679,89496,essence-cosmetics-baby-got-glow-iluminador-liquido-30-breezy-bronze-10ml-bts-362069,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729466679
BTS-365525,Essence Cosmetics Banana Loose Powder Polvos 6g,ESSENCE COSMETICS,bts,365525,4059729348319,,4059729348319,89300,essence-cosmetics-banana-loose-powder-polvos-6g-bts-365525,31,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729348319
BTS-413731,"Essence Cosmetics Blur Soufflé Labial Mate Cremoso 01-Deep Scroll 3,6ml",ESSENCE COSMETICS,bts,413731,4059729584847,,4059729584847,89929,essence-cosmetics-blur-souffle-labial-mate-cremoso-01-deep-scroll-3-6ml-bts-413731,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729584847
BTS-413733,"Essence Cosmetics Blur Soufflé Labial Mate Cremoso 03-Hot Offline 3,6g",ESSENCE COSMETICS,bts,413733,4059729584885,,4059729584885,89931,essence-cosmetics-blur-souffle-labial-mate-cremoso-03-hot-offline-3-6g-bts-413733,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729584885
BTS-413734,"Essence Cosmetics Blur Soufflé Labial Mate Cremoso 04-Main Feed 3,6g",ESSENCE COSMETICS,bts,413734,4059729584908,,4059729584908,89932,essence-cosmetics-blur-souffle-labial-mate-cremoso-04-main-feed-3-6g-bts-413734,2,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729584908
BTS-413736,"Essence Cosmetics Blur Soufflé Labial Mate Cremoso 06-Pillow Talking 3,6g",ESSENCE COSMETICS,bts,413736,4059729584946,,4059729584946,89934,essence-cosmetics-blur-souffle-labial-mate-cremoso-06-pillow-talking-3-6g-bts-413736,10,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729584946
BTS-386542,"Essence Cosmetics Bright Eyes! Stick Para Ojos 02-Warm Honey 5,5g",ESSENCE COSMETICS,bts,386542,4059729516800,,4059729516800,89673,essence-cosmetics-bright-eyes-stick-para-ojos-02-warm-honey-5-5g-bts-386542,5,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729516800
